day_name,season,route_id,stop_name.x,stop_name.y,stop_lat.x,stop_lon.x,stop_lat.y,stop_lon.y,avg_time
Friday,Fall,Blue,Government Center,State,42.359705,-71.059215,42.358978,-71.057598,34.907999999999994
Friday,Fall,Blue,Government Center,Suffolk Downs,42.359705,-71.059215,42.39061,-70.99703,778.9175050301811
Friday,Fall,Blue,Government Center,Wonderland,42.359705,-71.059215,42.413361,-70.991685,1140.9517102615696
Friday,Fall,Blue,Government Center,Wood Island,42.359705,-71.059215,42.379671,-71.022783,504.76257545271636
Friday,Fall,Blue,Maverick,Airport,42.369119,-71.03953,42.374262,-71.030395,79.26156941649899
Friday,Fall,Blue,Maverick,Aquarium,42.369119,-71.03953,42.359784,-71.051652,91.97188755020082
Friday,Fall,Blue,Maverick,Beachmont,42.369119,-71.03953,42.397204,-70.992551,550.1006036217303
Friday,Fall,Blue,Maverick,Bowdoin,42.369119,-71.03953,42.361365,-71.062037,366.41733870967744
Friday,Fall,Blue,Maverick,Government Center,42.369119,-71.03953,42.359705,-71.059215,263.4497991967871
Friday,Fall,Blue,Maverick,Orient Heights,42.369119,-71.03953,42.386842,-71.004767,358.58148893360163
Friday,Fall,Blue,Maverick,Revere Beach,42.369119,-71.03953,42.407874,-70.992497,675.3561368209255
Friday,Fall,Blue,Maverick,State,42.369119,-71.03953,42.358978,-71.057598,173.19477911646584
Friday,Fall,Blue,Maverick,Suffolk Downs,42.369119,-71.03953,42.39061,-70.99703,459.0422535211267
Friday,Fall,Blue,Maverick,Wonderland,42.369119,-71.03953,42.413361,-70.991685,821.076458752515
Friday,Fall,Blue,Maverick,Wood Island,42.369119,-71.03953,42.379671,-71.022783,184.88732394366198
Friday,Fall,Blue,Orient Heights,Airport,42.386909,-71.004809,42.374262,-71.030395,211.14859437751
Friday,Fall,Blue,Orient Heights,Aquarium,42.386909,-71.004809,42.359784,-71.051652,507.47991967871485
Friday,Fall,Blue,Orient Heights,Beachmont,42.386842,-71.004767,42.397204,-70.992551,146.9215291750503
Friday,Fall,Blue,Orient Heights,Bowdoin,42.386909,-71.004809,42.361365,-71.062037,781.7157258064516
Friday,Fall,Blue,Orient Heights,Government Center,42.386909,-71.004809,42.359705,-71.059215,678.9578313253011
Friday,Fall,Blue,Orient Heights,Maverick,42.386909,-71.004809,42.369119,-71.03953,357.87751004016064
Friday,Fall,Blue,Orient Heights,Revere Beach,42.386842,-71.004767,42.407874,-70.992497,272.17706237424545
Friday,Fall,Blue,Orient Heights,State,42.386909,-71.004809,42.358978,-71.057598,588.70281124498
Friday,Fall,Blue,Orient Heights,Suffolk Downs,42.386842,-71.004767,42.39061,-70.99703,55.86317907444668
Friday,Fall,Blue,Orient Heights,Wonderland,42.386842,-71.004767,42.413361,-70.991685,417.8973843058351
Friday,Fall,Blue,Orient Heights,Wood Island,42.386909,-71.004809,42.37974,-71.022818,109.35943775100402
Friday,Fall,Blue,Revere Beach,Airport,42.40776,-70.992586,42.374262,-71.030395,537.6103092783505
Friday,Fall,Blue,Revere Beach,Aquarium,42.40776,-70.992586,42.359784,-71.051652,834.1773195876289
Friday,Fall,Blue,Revere Beach,Beachmont,42.40776,-70.992586,42.397219,-70.992647,77.02061855670102
Friday,Fall,Blue,Revere Beach,Bowdoin,42.40776,-70.992586,42.361365,-71.062037,1107.6356107660454
Friday,Fall,Blue,Revere Beach,Government Center,42.40776,-70.992586,42.359705,-71.059215,1005.6515463917526
Friday,Fall,Blue,Revere Beach,Maverick,42.40776,-70.992586,42.369119,-71.03953,684.501030927835
Friday,Fall,Blue,Revere Beach,Orient Heights,42.40776,-70.992586,42.386909,-71.004809,283.83298969072166
Friday,Fall,Blue,Revere Beach,State,42.40776,-70.992586,42.358978,-71.057598,915.4865979381443
Friday,Fall,Blue,Revere Beach,Suffolk Downs,42.40776,-70.992586,42.390422,-70.997323,180.11134020618556
Friday,Fall,Blue,Revere Beach,Wonderland,42.407874,-70.992497,42.413361,-70.991685,102.75050301810862
Friday,Fall,Blue,Revere Beach,Wood Island,42.40776,-70.992586,42.37974,-71.022818,435.77938144329903
Friday,Fall,Blue,State,Airport,42.358978,-71.057598,42.374262,-71.030395,312.67806841046274
Friday,Fall,Blue,State,Aquarium,42.358978,-71.057598,42.359784,-71.051652,30.579158316633265
Friday,Fall,Blue,State,Beachmont,42.358978,-71.057598,42.397204,-70.992551,783.5171026156943
Friday,Fall,Blue,State,Bowdoin,42.358978,-71.057598,42.361365,-71.062037,141.8004032258065
Friday,Fall,Blue,State,Government Center,42.358978,-71.057598,42.359705,-71.059215,36.182730923694784
Friday,Fall,Blue,State,Maverick,42.358978,-71.057598,42.369119,-71.03953,180.6933867735471
Friday,Fall,Blue,State,Orient Heights,42.358978,-71.057598,42.386842,-71.004767,591.9979879275654
Friday,Fall,Blue,State,Revere Beach,42.358978,-71.057598,42.407874,-70.992497,908.7726358148893
Friday,Fall,Blue,State,Suffolk Downs,42.358978,-71.057598,42.39061,-70.99703,692.4587525150905
Friday,Fall,Blue,State,Wonderland,42.358978,-71.057598,42.413361,-70.991685,1054.4929577464789
Friday,Fall,Blue,State,Wood Island,42.358978,-71.057598,42.379671,-71.022783,418.3038229376258
Friday,Fall,Blue,Suffolk Downs,Airport,42.390422,-70.997323,42.374262,-71.030395,317.1175257731959
Friday,Fall,Blue,Suffolk Downs,Aquarium,42.390422,-70.997323,42.359784,-71.051652,613.6845360824743
Friday,Fall,Blue,Suffolk Downs,Beachmont,42.39061,-70.99703,42.397204,-70.992551,49.152917505030175
Friday,Fall,Blue,Suffolk Downs,Bowdoin,42.390422,-70.997323,42.361365,-71.062037,887.097308488613
Friday,Fall,Blue,Suffolk Downs,Government Center,42.390422,-70.997323,42.359705,-71.059215,785.1587628865979
Friday,Fall,Blue,Suffolk Downs,Maverick,42.390422,-70.997323,42.369119,-71.03953,464.0082474226804
Friday,Fall,Blue,Suffolk Downs,Orient Heights,42.390422,-70.997323,42.386909,-71.004809,63.34020618556701
Friday,Fall,Blue,Suffolk Downs,Revere Beach,42.39061,-70.99703,42.407874,-70.992497,174.40845070422537
Friday,Fall,Blue,Suffolk Downs,State,42.390422,-70.997323,42.358978,-71.057598,694.9938144329896
Friday,Fall,Blue,Suffolk Downs,Wonderland,42.39061,-70.99703,42.413361,-70.991685,320.1287726358148
Friday,Fall,Blue,Suffolk Downs,Wood Island,42.390422,-70.997323,42.37974,-71.022818,215.28659793814435
Friday,Fall,Blue,Wonderland,Airport,42.413514,-70.991714,42.374262,-71.030395,618.2809917355372
Friday,Fall,Blue,Wonderland,Aquarium,42.413514,-70.991714,42.359784,-71.051652,914.8657024793389
Friday,Fall,Blue,Wonderland,Beachmont,42.413514,-70.991714,42.397219,-70.992647,157.64462809917353
Friday,Fall,Blue,Wonderland,Bowdoin,42.413514,-70.991714,42.361365,-71.062037,1188.3713692946058
Friday,Fall,Blue,Wonderland,Government Center,42.413514,-70.991714,42.359705,-71.059215,1086.345041322314
Friday,Fall,Blue,Wonderland,Maverick,42.413514,-70.991714,42.369119,-71.03953,765.1735537190082
Friday,Fall,Blue,Wonderland,Orient Heights,42.413514,-70.991714,42.386909,-71.004809,364.4731404958677
Friday,Fall,Blue,Wonderland,Revere Beach,42.413514,-70.991714,42.40776,-70.992586,38.10766045548654
Friday,Fall,Blue,Wonderland,State,42.413514,-70.991714,42.358978,-71.057598,996.194214876033
Friday,Fall,Blue,Wonderland,Suffolk Downs,42.413514,-70.991714,42.390422,-70.997323,260.7438016528925
Friday,Fall,Blue,Wonderland,Wood Island,42.413514,-70.991714,42.37974,-71.022818,516.4318181818182
Friday,Fall,Blue,Wood Island,Airport,42.37974,-71.022818,42.374262,-71.030395,63.92369477911649
Friday,Fall,Blue,Wood Island,Aquarium,42.37974,-71.022818,42.359784,-71.051652,360.2550200803214
Friday,Fall,Blue,Wood Island,Beachmont,42.379671,-71.022783,42.397204,-70.992551,325.87927565392357
Friday,Fall,Blue,Wood Island,Bowdoin,42.37974,-71.022818,42.361365,-71.062037,634.5040322580645
Friday,Fall,Blue,Wood Island,Government Center,42.37974,-71.022818,42.359705,-71.059215,531.7329317269075
Friday,Fall,Blue,Wood Island,Maverick,42.37974,-71.022818,42.369119,-71.03953,210.65261044176702
Friday,Fall,Blue,Wood Island,Orient Heights,42.379671,-71.022783,42.386842,-71.004767,134.36016096579473
Friday,Fall,Blue,Wood Island,Revere Beach,42.379671,-71.022783,42.407874,-70.992497,451.1348088531187
Friday,Fall,Blue,Wood Island,State,42.37974,-71.022818,42.358978,-71.057598,441.47791164658645
Friday,Fall,Blue,Wood Island,Suffolk Downs,42.379671,-71.022783,42.39061,-70.99703,234.82092555331988
Friday,Fall,Blue,Wood Island,Wonderland,42.379671,-71.022783,42.413361,-70.991685,596.8551307847082
Friday,Fall,Orange,Assembly,Back Bay,42.392331,-71.077262,42.34735,-71.075727,1091.2466843501327
