service_date,gtfs_route_id,gtfs_route_desc,route_category,mode_type,otp_numerator,otp_denominator,cancelled_numerator,month,route_short_name,route_long_name
2022-08-22,86,Local Bus,Other Bus,Bus,331,484,0,22Aug,86,Sullivan Square Station - Reservoir Station
2022-08-22,201,Local Bus,Other Bus,Bus,46,60,0,22Aug,201,Fields Corner Loop via Neponset Ave
2022-08-22,86,Local Bus,Other Bus,Bus,206,256,0,22Aug,86,Sullivan Square Station - Reservoir Station
2022-08-22,201,Local Bus,Other Bus,Bus,158,217,0,22Aug,201,Fields Corner Loop via Neponset Ave
2022-08-22,85,Local Bus,Other Bus,Bus,25,30,0,22Aug,85,Spring Hill - Kendall/MIT Station
2022-08-22,194,Local Bus,Other Bus,Bus,6,8,0,22Aug,NA,NA
2022-08-22,193,Local Bus,Other Bus,Bus,12,18,0,22Aug,NA,NA
2022-08-22,192,Local Bus,Other Bus,Bus,15,17,0,22Aug,NA,NA
2022-08-22,191,Local Bus,Other Bus,Bus,17,22,0,22Aug,NA,NA
2022-08-22,19,Local Bus,Other Bus,Bus,168,311,0,22Aug,19,Fields Corner Station - Kenmore or Ruggles Station
2022-08-22,19,Local Bus,Other Bus,Bus,222,329,0,22Aug,19,Fields Corner Station - Kenmore or Ruggles Station
2022-08-22,18,Local Bus,Other Bus,Bus,23,29,0,22Aug,18,Ashmont Station - Andrew Station
2022-08-22,18,Local Bus,Other Bus,Bus,32,47,0,22Aug,18,Ashmont Station - Andrew Station
2022-08-22,171,Limited Service,Other Bus,Bus,2,8,0,22Aug,171,Logan Airport Terminals - Nubian Station
2022-08-22,17,Local Bus,Other Bus,Bus,217,289,0,22Aug,17,Fields Corner Station - Andrew Station
2022-08-22,17,Local Bus,Other Bus,Bus,88,137,0,22Aug,17,Fields Corner Station - Andrew Station
2022-08-22,16,Local Bus,Other Bus,Bus,637,938,0,22Aug,16,Forest Hills Station - Andrew Station or Harbor Point
2022-08-22,16,Local Bus,Other Bus,Bus,176,304,0,22Aug,16,Forest Hills Station - Andrew Station or Harbor Point
2022-08-22,15,Key Bus Route (Frequent Service),Key Bus,Bus,305,348,0,22Aug,15,Fields Corner Station or Kane Square - Ruggles Station
2022-08-22,15,Key Bus Route (Frequent Service),Key Bus,Bus,745,905,0,22Aug,15,Fields Corner Station or Kane Square - Ruggles Station
2022-08-22,14,Local Bus,Other Bus,Bus,52,112,0,22Aug,14,Roslindale Square - Heath Street
2022-08-22,14,Local Bus,Other Bus,Bus,110,190,0,22Aug,14,Roslindale Square - Heath Street
2022-08-22,137,Local Bus,Other Bus,Bus,161,220,0,22Aug,137,Reading Depot - Malden Center Station
2022-08-22,137,Local Bus,Other Bus,Bus,279,417,0,22Aug,137,Reading Depot - Malden Center Station
2022-08-22,134,Local Bus,Other Bus,Bus,199,289,0,22Aug,134,North Woburn - Wellington Station
2022-08-22,134,Local Bus,Other Bus,Bus,69,111,0,22Aug,134,North Woburn - Wellington Station
2022-08-22,132,Local Bus,Other Bus,Bus,45,71,0,22Aug,132,Redstone Shopping Center - Malden Center Station
2022-08-22,132,Local Bus,Other Bus,Bus,127,160,0,22Aug,132,Redstone Shopping Center - Malden Center Station
2022-08-22,131,Local Bus,Other Bus,Bus,35,59,0,22Aug,131,Melrose Highlands - Oak Grove or Malden Center Station
2022-08-22,131,Local Bus,Other Bus,Bus,71,112,0,22Aug,131,Melrose Highlands - Oak Grove or Malden Center Station
2022-08-22,121,Limited Service,Other Bus,Bus,24,31,0,22Aug,121,Wood Island Station - Maverick Station
2022-08-22,121,Limited Service,Other Bus,Bus,55,68,0,22Aug,121,Wood Island Station - Maverick Station
2022-08-22,120,Local Bus,Other Bus,Bus,91,115,0,22Aug,120,Orient Heights Station - Jeffries Point
2022-08-22,120,Local Bus,Other Bus,Bus,177,283,0,22Aug,120,Orient Heights Station - Jeffries Point
